tag,ideas
SVG,dd_welfare_3 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
SWE,dd_welfare_4 dd_education_5 dd_immigration_3 dd_taxes_4 dd_women_4 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_5 dd_labor_4 dd_fertility_3 dd_aid_4 dd_religion_4 dd_media_4 dd_civil_military_4 limited_conscription export_focus civilian_economy
SWI,dd_welfare_4 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_5 dd_labor_4 dd_fertility_3 dd_aid_3 dd_religion_4 dd_media_4 dd_civil_military_3 limited_conscription export_focus civilian_economy
SWZ,dd_welfare_2 dd_education_3 dd_immigration_2 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_3 dd_security_4 dd_healthcare_2 dd_labor_2 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_2 dd_civil_military_2 volunteer_only free_trade civilian_economy
SYR,dd_welfare_1 dd_education_4 dd_immigration_1 dd_taxes_2 dd_women_1 dd_minority_1 dd_investment_2 dd_security_5 dd_healthcare_1 dd_labor_2 dd_fertility_1 dd_aid_1 dd_religion_1 dd_media_2 dd_civil_military_2 extensive_conscription closed_economy war_economy
TAH,
TAJ,dd_welfare_3 dd_education_3 dd_immigration_2 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_3 dd_security_4 dd_healthcare_2 dd_labor_3 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_2 dd_civil_military_2 limited_conscription export_focus civilian_economy
TAN,
TAT,
TAY,
THU,
TIB,
TIG,
TML,dd_welfare_2 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_2 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 limited_conscription free_trade civilian_economy
TMS,dd_welfare_3 dd_education_3 dd_immigration_1 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_5 dd_security_5 dd_healthcare_3 dd_labor_4 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_1 dd_civil_military_2 limited_conscription closed_economy civilian_economy
TNE,
TOG,dd_welfare_2 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_4 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_2 dd_civil_military_2 volunteer_only export_focus civilian_economy
TOS,
TRA,
TRI,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only export_focus civilian_economy
TTS,
TUN,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_4 dd_healthcare_3 dd_labor_3 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_2 limited_conscription export_focus civilian_economy
TUR,dd_welfare_3 dd_education_5 dd_immigration_3 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_3 dd_security_4 dd_healthcare_3 dd_labor_3 dd_fertility_2 dd_aid_2 dd_religion_2 dd_media_2 dd_civil_military_2 limited_conscription export_focus civilian_economy
TUV,dd_welfare_2 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
TZN,dd_welfare_2 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
UAE,dd_welfare_4 dd_education_5 dd_immigration_2 dd_taxes_1 dd_women_2 dd_minority_2 dd_investment_4 dd_security_5 dd_healthcare_4 dd_labor_2 dd_fertility_2 dd_aid_3 dd_religion_2 dd_media_2 dd_civil_military_2 limited_conscription free_trade civilian_economy
UBD,
UDM,
UGA,dd_welfare_2 dd_education_3 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_2 dd_investment_3 dd_security_4 dd_healthcare_2 dd_labor_3 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_2 dd_civil_military_2 volunteer_only export_focus civilian_economy
UKR,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_4 dd_healthcare_3 dd_labor_5 dd_fertility_3 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_3 extensive_conscription limited_exports war_economy
URG,dd_welfare_4 dd_education_5 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_4 dd_labor_4 dd_fertility_3 dd_aid_2 dd_religion_4 dd_media_4 dd_civil_military_3 volunteer_only export_focus civilian_economy
USA,dd_welfare_3 dd_education_4 dd_immigration_4 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_4 dd_healthcare_2 dd_labor_2 dd_fertility_3 dd_aid_4 dd_religion_3 dd_media_4 dd_civil_military_1 volunteer_only export_focus civilian_economy
USB,
UZB,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_4 dd_security_4 dd_healthcare_3 dd_labor_3 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_2 dd_civil_military_2 limited_conscription export_focus civilian_economy
VAN,dd_welfare_2 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
VEN,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_4 dd_women_3 dd_minority_3 dd_investment_5 dd_security_5 dd_healthcare_2 dd_labor_5 dd_fertility_3 dd_aid_1 dd_religion_4 dd_media_2 dd_civil_military_2 limited_conscription closed_economy partial_economic_mobilisation
VGE,
VIN,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_5 dd_security_4 dd_healthcare_3 dd_labor_5 dd_fertility_3 dd_aid_2 dd_religion_4 dd_media_2 dd_civil_military_2 limited_conscription export_focus civilian_economy
VLA,
VOL,dd_welfare_2 dd_education_3 dd_immigration_2 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_3 dd_security_5 dd_healthcare_2 dd_labor_2 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_2 dd_civil_military_2 limited_conscription limited_exports war_economy
WES,
WGR,
WIS,
WLA,
WLS,
WPG,
WUR,
XIC,
XSM,
YAK,
YAM,
YEM,dd_welfare_2 dd_education_4 dd_immigration_2 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_2 dd_security_4 dd_healthcare_1 dd_labor_2 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_3 limited_conscription limited_exports war_economy
YNR,dd_welfare_2 dd_education_2 dd_immigration_2 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_2 dd_security_4 dd_healthcare_1 dd_labor_2 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_2 limited_conscription limited_exports war_economy
YUC,
YUG,
YUN,
ZAM,dd_welfare_2 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
ZIM,dd_welfare_2 dd_education_4 dd_immigration_2 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_4 dd_security_4 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_2 dd_civil_military_2 volunteer_only limited_exports civilian_economy
